Donor_ID,Event_Name,Attendance_Date
711365,Alumni Happy Hour Mixer,2019-01-05
465126,Alumni Happy Hour Mixer,2021-04-25
868730,Alumni Reunion,2020-11-11
843884,New Parent BBQ,2020-07-12
911207,Alumni Reunion,2022-10-22
225542,Alumni Reunion,2025-08-05
768702,Alumni Reunion,2021-03-21
768702,Alumni Happy Hour Mixer,2024-07-06
571063,Alumni Reunion,2022-11-14
209074,Alumni Reunion,2022-01-24
670204,Holiday Mixer,2025-05-18
472989,Speaker Spotlight,2023-08-03
862175,Family Weekend Mixer,2024-01-24
462711,Family Weekend Mixer,2020-12-06
281540,Alumni Reunion,2022-08-12
443529,Family Weekend Mixer,2023-10-25
306030,Alumni Reunion,2024-03-20
860610,Alumni Baseball Game,2015-02-06
679242,Faculty Meet and Greet,2021-12-03
973882,Alumni Reunion,2025-02-20
893457,Alumni Reunion,2025-03-13
523954,Speaker Spotlight,2022-10-27
478173,Faculty Meet and Greet,2018-05-05
988227,Alumni Happy Hour Mixer,2018-06-26
100808,Alumni Happy Hour Mixer,2022-08-21
996379,Alumni Happy Hour Mixer,2017-04-24
864081,Speaker Spotlight,2019-11-20
323987,Alumni Happy Hour Mixer,2025-08-25
577974,Speaker Spotlight,2017-11-28
192681,Family Weekend Mixer,2025-05-15
925952,Family Weekend Mixer,2025-05-15
183974,Alumni Happy Hour Mixer,2019-12-15
799098,Alumni Reunion,2025-08-16
477035,Family Weekend Mixer,2020-06-19
252304,Family Weekend Mixer,2024-11-13
423738,Alumni Baseball Game,2020-12-18
612524,Campus Tour,2024-01-07
767714,Speaker Spotlight,2025-04-18
872331,Speaker Spotlight,2025-08-22
927210,Alumni Baseball Game,2022-01-16
505264,Alumni Reunion,2017-08-27
505264,Speaker Spotlight,2025-05-16
505264,Faculty Meet and Greet,2025-03-04
759422,Speaker Spotlight,2021-04-03
483318,Holiday Mixer,2017-08-14
829068,Alumni Reunion,2021-12-17
808653,Alumni Baseball Game,2019-12-14
808653,Faculty Meet and Greet,2022-09-04
