Donor_ID,Event_Name,Attendance_Date
989769,Family Weekend Mixer,2015-01-04
876634,Family Weekend Mixer,2023-07-07
488600,Alumni Happy Hour Mixer,2025-02-19
433448,Campus Tour,2024-01-22
197834,Campus Tour,2025-09-11
552588,Alumni Reunion,2018-04-17
552588,Alumni Happy Hour Mixer,2021-05-05
552588,Campus Tour,2018-09-26
774465,Alumni Reunion,2025-03-26
799636,Alumni Reunion,2020-03-05
865318,Alumni Reunion,2019-05-05
865318,Alumni Baseball Game,2021-02-01
238160,Family Weekend Mixer,2025-08-02
744435,Alumni Happy Hour Mixer,2025-09-14
290955,Alumni Happy Hour Mixer,2021-07-04
712071,Alumni Baseball Game,2025-03-14
550039,Alumni Reunion,2024-02-07
926309,New Parent BBQ,2024-02-09
220609,Alumni Happy Hour Mixer,2022-03-03
820921,Alumni Happy Hour Mixer,2022-11-23
835171,Alumni Happy Hour Mixer,2025-06-19
835171,Campus Tour,2025-06-22
121143,Alumni Happy Hour Mixer,2025-03-01
838085,Alumni Happy Hour Mixer,2025-01-02
524213,Faculty Meet and Greet,2017-04-27
402207,Family Weekend Mixer,2019-01-20
106171,Family Weekend Mixer,2023-02-26
644071,New Parent BBQ,2025-05-18
228397,Family Weekend Mixer,2024-06-14
387399,Alumni Reunion,2021-09-06
913667,Family Weekend Mixer,2021-07-17
208232,Family Weekend Mixer,2024-08-03
683844,Family Weekend Mixer,2023-02-15
934924,Alumni Happy Hour Mixer,2022-04-26
144565,Alumni Reunion,2024-10-17
667400,Alumni Happy Hour Mixer,2024-11-09
207171,Family Weekend Mixer,2024-09-17
139993,Alumni Happy Hour Mixer,2021-07-20
678615,Alumni Reunion,2020-05-01
386444,Alumni Reunion,2023-11-10
376417,Alumni Reunion,2024-03-06
876158,Family Weekend Mixer,2022-06-17
961597,Alumni Reunion,2017-05-28
136418,Alumni Reunion,2025-02-11
136418,Family Weekend Mixer,2021-08-10
238100,Speaker Spotlight,2022-04-08
578919,Faculty Meet and Greet,2024-11-09
457019,Alumni Reunion,2018-01-10
817495,Family Weekend Mixer,2016-11-01
672923,Alumni Reunion,2020-08-09
672923,Alumni Baseball Game,2021-11-05
672923,Family Weekend Mixer,2024-05-22
610773,Alumni Reunion,2016-08-19
737941,Family Weekend Mixer,2023-06-07
737941,Speaker Spotlight,2023-12-05
181971,Family Weekend Mixer,2025-07-09
250025,Alumni Happy Hour Mixer,2022-08-19
404460,Alumni Baseball Game,2015-12-18
404460,Campus Tour,2015-02-21
782143,Alumni Reunion,2023-09-05
564584,Alumni Baseball Game,2023-03-21
898066,Alumni Reunion,2019-09-01
509505,Alumni Reunion,2025-06-22
509505,Alumni Baseball Game,2024-01-01
760618,Alumni Baseball Game,2020-04-16
229460,Alumni Happy Hour Mixer,2022-08-14
846795,Alumni Reunion,2018-11-16
710743,Alumni Reunion,2024-05-07
710743,Alumni Baseball Game,2020-03-23
710743,Faculty Meet and Greet,2021-08-10
738320,Faculty Meet and Greet,2015-01-02
108260,Alumni Baseball Game,2024-11-17
725752,Alumni Happy Hour Mixer,2015-08-25
647454,Alumni Happy Hour Mixer,2023-10-27
233666,Speaker Spotlight,2021-10-15
947158,Alumni Happy Hour Mixer,2024-08-23
723374,Alumni Reunion,2024-11-24
606584,Family Weekend Mixer,2023-06-24
265047,New Parent BBQ,2018-01-28
882249,Alumni Reunion,2024-08-03
409699,Alumni Reunion,2023-12-11
146981,Alumni Happy Hour Mixer,2017-06-19
621394,Alumni Happy Hour Mixer,2024-11-05
190950,Family Weekend Mixer,2021-08-28
254683,Alumni Baseball Game,2020-02-18
312943,Family Weekend Mixer,2023-12-11
456728,Alumni Happy Hour Mixer,2020-01-17
982419,Alumni Happy Hour Mixer,2023-03-22
135490,Family Weekend Mixer,2015-09-16
100721,Alumni Reunion,2019-09-15
423904,Alumni Reunion,2021-05-16
983516,Family Weekend Mixer,2023-01-17
910250,Speaker Spotlight,2021-01-22
867715,Alumni Reunion,2020-07-10
904826,Alumni Happy Hour Mixer,2022-11-05
191914,Alumni Baseball Game,2025-04-23
853917,Alumni Baseball Game,2021-05-07
224808,Alumni Happy Hour Mixer,2024-12-06
533805,Family Weekend Mixer,2016-03-14
445387,Alumni Reunion,2024-12-08
353965,Alumni Reunion,2024-12-14
733897,Alumni Happy Hour Mixer,2024-09-08
189335,Alumni Reunion,2023-10-22
880319,Alumni Reunion,2021-05-19
214297,Alumni Happy Hour Mixer,2025-09-04
390627,Alumni Baseball Game,2019-12-10
937584,Alumni Happy Hour Mixer,2023-05-18
664394,Family Weekend Mixer,2022-09-16
928394,Family Weekend Mixer,2025-01-02
609060,Alumni Reunion,2022-11-20
954129,Alumni Happy Hour Mixer,2022-12-23
306395,Family Weekend Mixer,2025-06-18
766029,New Parent BBQ,2024-06-10
588192,Alumni Baseball Game,2020-05-23
588192,Alumni Happy Hour Mixer,2018-05-28
994737,Alumni Happy Hour Mixer,2017-11-26
201364,Faculty Meet and Greet,2024-11-06
956744,Alumni Reunion,2022-06-22
197233,Alumni Baseball Game,2025-10-19
197233,Faculty Meet and Greet,2019-08-16
327552,Alumni Baseball Game,2017-08-14
327552,Alumni Happy Hour Mixer,2025-03-08
626645,Alumni Happy Hour Mixer,2020-01-22
784870,Alumni Reunion,2021-01-26
784870,Alumni Happy Hour Mixer,2021-04-19
144705,Alumni Reunion,2022-10-28
993403,Family Weekend Mixer,2022-05-28
425826,Alumni Reunion,2025-07-21
425826,Speaker Spotlight,2018-11-25
425826,Faculty Meet and Greet,2017-07-06
644544,Family Weekend Mixer,2025-01-17
746501,Alumni Reunion,2023-09-15
812279,Alumni Happy Hour Mixer,2020-10-27
479188,Alumni Happy Hour Mixer,2025-05-20
628413,Alumni Baseball Game,2024-08-14
628413,Faculty Meet and Greet,2017-12-27
596470,Alumni Reunion,2023-02-18
836385,Alumni Reunion,2023-12-02
626666,Alumni Reunion,2020-10-16
626666,Alumni Happy Hour Mixer,2021-11-27
626666,Alumni Reunion,2025-01-16
626666,Alumni Happy Hour Mixer,2020-01-26
304914,Alumni Reunion,2023-09-15
893976,Alumni Reunion,2025-04-15
617986,Alumni Reunion,2016-11-11
442816,Alumni Reunion,2016-11-05
222426,Alumni Baseball Game,2025-03-13
812573,Family Weekend Mixer,2025-07-14
684160,Alumni Happy Hour Mixer,2018-08-19
680427,Alumni Happy Hour Mixer,2025-04-16
361649,Family Weekend Mixer,2016-07-19
452750,Alumni Reunion,2019-06-05
680930,Family Weekend Mixer,2024-05-08
871979,Alumni Baseball Game,2024-09-14
498134,Holiday Mixer,2021-11-23
843011,New Parent BBQ,2025-01-26
658132,Alumni Baseball Game,2023-02-19
436543,Holiday Mixer,2017-10-13
756166,Faculty Meet and Greet,2023-10-23
851601,Alumni Baseball Game,2018-11-21
682426,Family Weekend Mixer,2022-08-01
515374,Alumni Reunion,2024-07-14
199910,New Parent BBQ,2021-10-14
199910,Faculty Meet and Greet,2025-08-16
604118,Holiday Mixer,2024-09-26
103976,Alumni Happy Hour Mixer,2017-11-14
103976,Family Weekend Mixer,2024-05-13
766443,Faculty Meet and Greet,2025-08-14
227696,Family Weekend Mixer,2025-06-18
400056,Alumni Happy Hour Mixer,2021-10-05
472739,Family Weekend Mixer,2023-05-03
842210,Family Weekend Mixer,2022-08-17
384395,Alumni Happy Hour Mixer,2025-08-01
384395,Faculty Meet and Greet,2025-01-14
314687,Alumni Baseball Game,2025-09-13
724069,Family Weekend Mixer,2019-11-05
934348,Faculty Meet and Greet,2024-10-11
742074,Alumni Happy Hour Mixer,2016-09-19
742074,Speaker Spotlight,2023-11-05
337797,Holiday Mixer,2022-09-26
752446,New Parent BBQ,2019-09-13
196715,Alumni Baseball Game,2022-06-10
316029,Alumni Happy Hour Mixer,2023-02-24
417240,Speaker Spotlight,2018-10-18
337278,Alumni Reunion,2019-03-05
337278,Speaker Spotlight,2025-02-03
337278,Speaker Spotlight,2021-08-14
728778,Alumni Reunion,2025-07-08
728778,Holiday Mixer,2020-07-14
874785,Alumni Reunion,2025-01-11
473235,Family Weekend Mixer,2025-02-12
851767,Alumni Happy Hour Mixer,2021-09-02
156295,Alumni Happy Hour Mixer,2022-07-11
156295,Family Weekend Mixer,2023-12-19
845070,Alumni Happy Hour Mixer,2018-11-22
221219,Alumni Happy Hour Mixer,2024-01-28
700506,Alumni Baseball Game,2019-07-23
623387,Alumni Reunion,2018-05-19
558337,Alumni Happy Hour Mixer,2016-01-05
330257,Faculty Meet and Greet,2024-12-21
614897,Family Weekend Mixer,2024-05-27
711709,Alumni Reunion,2016-05-05
267958,New Parent BBQ,2019-05-12
437109,Alumni Happy Hour Mixer,2017-01-18
142946,Alumni Happy Hour Mixer,2020-02-23
572350,Alumni Reunion,2024-12-09
682563,Alumni Baseball Game,2022-08-07
682563,Alumni Happy Hour Mixer,2023-03-28
594507,Alumni Baseball Game,2024-07-08
804863,Alumni Happy Hour Mixer,2022-11-19
676322,Faculty Meet and Greet,2023-07-13
899599,Faculty Meet and Greet,2024-08-11
899599,Family Weekend Mixer,2018-11-14
842722,Alumni Baseball Game,2025-04-08
856990,New Parent BBQ,2023-03-16
521838,Alumni Happy Hour Mixer,2022-09-05
792199,Alumni Reunion,2025-03-23
792199,Alumni Baseball Game,2025-04-26
669461,Family Weekend Mixer,2024-07-19
955013,Family Weekend Mixer,2025-02-04
342863,Alumni Reunion,2025-03-17
785172,Alumni Happy Hour Mixer,2024-07-04
377478,Holiday Mixer,2022-04-17
315570,Alumni Reunion,2023-09-23
646361,Alumni Baseball Game,2016-06-12
706368,Alumni Baseball Game,2015-12-04
689741,Family Weekend Mixer,2024-01-09
554030,Alumni Happy Hour Mixer,2021-09-08
261501,Family Weekend Mixer,2019-10-26
224100,New Parent BBQ,2025-06-24
885762,Alumni Reunion,2018-05-26
590400,Speaker Spotlight,2024-11-05
815348,Campus Tour,2019-10-25
119898,Alumni Happy Hour Mixer,2024-05-10
861096,New Parent BBQ,2016-09-03
861096,Speaker Spotlight,2024-12-22
494542,Alumni Happy Hour Mixer,2025-05-10
679322,Alumni Happy Hour Mixer,2023-01-12
490355,Alumni Baseball Game,2023-01-28
490355,Alumni Reunion,2022-11-15
490355,Family Weekend Mixer,2020-09-24
275028,Family Weekend Mixer,2025-07-17
358729,Family Weekend Mixer,2024-07-07
701681,Faculty Meet and Greet,2024-07-24
583620,Alumni Happy Hour Mixer,2016-11-01
548444,Family Weekend Mixer,2023-06-28
983660,New Parent BBQ,2020-03-13
478410,New Parent BBQ,2020-03-12
175395,Family Weekend Mixer,2021-01-03
318752,Alumni Baseball Game,2025-06-04
423588,Alumni Happy Hour Mixer,2020-11-12
330748,Alumni Reunion,2019-06-19
124627,Alumni Happy Hour Mixer,2022-02-24
412245,Speaker Spotlight,2022-07-12
412245,Holiday Mixer,2024-12-15
983198,New Parent BBQ,2025-09-07
924833,Family Weekend Mixer,2024-10-28
236605,Family Weekend Mixer,2025-05-18
812587,Speaker Spotlight,2024-08-23
220566,Family Weekend Mixer,2017-06-28
480968,Family Weekend Mixer,2025-10-14
134768,Speaker Spotlight,2023-06-01
198541,New Parent BBQ,2018-06-17
334822,Faculty Meet and Greet,2023-07-02
967906,Family Weekend Mixer,2019-11-09
967906,Faculty Meet and Greet,2025-07-11
292338,Holiday Mixer,2019-02-10
885785,Alumni Happy Hour Mixer,2019-07-08
885785,Faculty Meet and Greet,2024-06-01
263875,New Parent BBQ,2017-11-17
894968,Alumni Happy Hour Mixer,2023-04-15
113386,Holiday Mixer,2024-11-08
861394,Alumni Baseball Game,2021-06-01
650056,Alumni Happy Hour Mixer,2019-03-16
650056,Holiday Mixer,2020-04-18
838234,Alumni Reunion,2019-08-09
838234,Alumni Happy Hour Mixer,2022-09-07
939628,Faculty Meet and Greet,2018-06-24
732067,Alumni Happy Hour Mixer,2023-09-24
732067,Family Weekend Mixer,2022-12-26
604582,Family Weekend Mixer,2025-07-20
793612,Speaker Spotlight,2022-05-23
128061,Faculty Meet and Greet,2024-06-27
742878,Faculty Meet and Greet,2023-09-24
798673,Alumni Reunion,2017-01-23
505908,Alumni Happy Hour Mixer,2023-12-11
574051,Alumni Reunion,2025-03-25
574051,Alumni Happy Hour Mixer,2022-07-28
574051,Family Weekend Mixer,2024-04-02
574051,Speaker Spotlight,2025-06-25
223911,Alumni Happy Hour Mixer,2023-11-04
290028,Alumni Happy Hour Mixer,2019-11-11
290028,Faculty Meet and Greet,2025-06-02
505750,Alumni Reunion,2025-10-03
505750,Alumni Happy Hour Mixer,2024-11-14
695186,Alumni Happy Hour Mixer,2017-09-13
560148,Alumni Baseball Game,2019-01-20
750588,Speaker Spotlight,2025-01-07
796855,Family Weekend Mixer,2023-04-09
481719,Family Weekend Mixer,2024-08-26
815154,Family Weekend Mixer,2021-06-03
748085,Alumni Happy Hour Mixer,2023-12-26
748085,Family Weekend Mixer,2022-02-01
264580,Alumni Reunion,2025-03-08
905537,Alumni Reunion,2016-08-17
905537,Holiday Mixer,2025-10-22
451947,Alumni Happy Hour Mixer,2024-10-21
423228,Family Weekend Mixer,2021-02-04
810755,Alumni Happy Hour Mixer,2025-08-06
808761,Alumni Reunion,2020-07-14
714715,Alumni Reunion,2019-03-19
820022,Alumni Baseball Game,2019-03-18
959967,Alumni Happy Hour Mixer,2023-02-15
649186,Alumni Happy Hour Mixer,2020-09-16
496888,Alumni Baseball Game,2022-04-12
983294,Holiday Mixer,2022-12-10
322862,Holiday Mixer,2025-05-19
387107,Alumni Baseball Game,2019-06-24
384732,Alumni Happy Hour Mixer,2024-03-06
276387,Family Weekend Mixer,2022-06-09
616732,Alumni Reunion,2022-03-13
616732,Family Weekend Mixer,2023-06-14
789808,Faculty Meet and Greet,2020-09-15
467683,Alumni Baseball Game,2018-06-22
512832,Alumni Reunion,2023-06-06
512832,Alumni Baseball Game,2020-07-07
937283,New Parent BBQ,2023-11-12
937283,Family Weekend Mixer,2018-02-10
871072,Faculty Meet and Greet,2025-02-17
643416,Alumni Baseball Game,2020-08-23
787679,New Parent BBQ,2023-10-21
877431,Alumni Baseball Game,2024-12-15
749090,New Parent BBQ,2018-11-12
564119,Speaker Spotlight,2021-09-22
465817,Alumni Reunion,2022-09-16
236009,Holiday Mixer,2024-05-16
277894,Faculty Meet and Greet,2019-01-01
386149,Alumni Reunion,2017-08-22
649682,Alumni Reunion,2023-10-25
517714,Faculty Meet and Greet,2025-03-04
448930,Alumni Happy Hour Mixer,2016-11-28
466369,Alumni Happy Hour Mixer,2025-04-25
393242,Alumni Happy Hour Mixer,2022-05-03
492793,Alumni Reunion,2020-05-13
308374,Alumni Baseball Game,2025-06-01
659601,Speaker Spotlight,2023-12-04
522485,Faculty Meet and Greet,2021-05-07
856668,Alumni Happy Hour Mixer,2024-03-06
359705,Alumni Reunion,2025-03-01
918731,Alumni Baseball Game,2024-03-25
332166,Alumni Happy Hour Mixer,2020-04-12
856768,Faculty Meet and Greet,2020-06-01
329033,Alumni Reunion,2021-06-18
208380,Alumni Happy Hour Mixer,2025-10-12
589977,Alumni Reunion,2022-11-03
589977,Alumni Happy Hour Mixer,2020-06-27
779182,Speaker Spotlight,2021-08-25
547785,Family Weekend Mixer,2023-03-24
379422,Family Weekend Mixer,2025-03-01
379422,Speaker Spotlight,2022-12-23
825254,Alumni Reunion,2022-01-05
552862,Alumni Happy Hour Mixer,2025-06-15
139156,Family Weekend Mixer,2016-04-01
451980,Family Weekend Mixer,2023-04-22
843138,Alumni Reunion,2024-03-13
894721,Alumni Happy Hour Mixer,2021-05-26
894721,Speaker Spotlight,2016-05-11
703524,Alumni Reunion,2019-10-28
703524,Alumni Happy Hour Mixer,2021-04-09
193100,Alumni Happy Hour Mixer,2025-06-07
287736,Alumni Happy Hour Mixer,2021-06-10
287736,Campus Tour,2024-10-22
758804,Alumni Reunion,2024-06-12
606397,Alumni Baseball Game,2020-02-19
943258,Faculty Meet and Greet,2017-05-12
659226,Family Weekend Mixer,2020-03-07
642898,Holiday Mixer,2021-01-10
375115,Family Weekend Mixer,2022-05-23
720651,Alumni Baseball Game,2021-02-16
583900,Alumni Happy Hour Mixer,2020-04-28
598887,Alumni Reunion,2025-09-15
693264,Alumni Happy Hour Mixer,2022-06-16
971386,Speaker Spotlight,2023-09-06
122783,Speaker Spotlight,2024-01-18
191430,Family Weekend Mixer,2021-04-03
363833,Alumni Baseball Game,2023-02-14
325404,Alumni Happy Hour Mixer,2021-11-21
653758,Family Weekend Mixer,2021-09-12
124040,Family Weekend Mixer,2024-06-06
772480,Alumni Reunion,2023-04-24
897469,Family Weekend Mixer,2023-07-25
590043,Holiday Mixer,2024-11-20
225567,Alumni Happy Hour Mixer,2019-04-09
291190,Alumni Reunion,2017-06-07
291190,Alumni Happy Hour Mixer,2022-04-20
350772,Alumni Baseball Game,2019-05-18
199460,Faculty Meet and Greet,2019-07-13
