Donor_ID,Event_Name,Attendance_Date
511610,Alumni Reunion,2025-03-13
593260,Alumni Reunion,2025-02-16
846441,Alumni Reunion,2022-01-21
430692,Family Weekend Mixer,2024-02-25
494878,Alumni Baseball Game,2025-08-27
165294,New Parent BBQ,2022-01-09
147629,Faculty Meet and Greet,2023-12-03
648814,Alumni Reunion,2022-10-14
648814,Family Weekend Mixer,2020-05-28
593395,Holiday Mixer,2022-06-13
593395,Alumni Reunion,2019-10-06
593395,Campus Tour,2022-12-25
447269,Alumni Happy Hour Mixer,2020-06-04
337114,Family Weekend Mixer,2022-07-05
840813,Campus Tour,2022-02-01
346576,Alumni Reunion,2020-03-22
473940,Speaker Spotlight,2022-05-23
572974,New Parent BBQ,2018-06-01
790824,Family Weekend Mixer,2021-06-14
311664,Family Weekend Mixer,2018-12-15
700810,Faculty Meet and Greet,2023-12-05
521513,Alumni Happy Hour Mixer,2019-12-03
377153,Alumni Happy Hour Mixer,2019-03-07
377153,Faculty Meet and Greet,2023-12-09
634824,New Parent BBQ,2024-04-23
634824,Faculty Meet and Greet,2024-04-25
889017,Speaker Spotlight,2021-06-07
993721,Alumni Happy Hour Mixer,2021-10-05
473610,Campus Tour,2024-07-23
597647,Alumni Reunion,2020-11-17
272596,Alumni Reunion,2024-08-19
355076,Alumni Happy Hour Mixer,2017-08-18
145997,Alumni Happy Hour Mixer,2021-12-26
657814,Alumni Reunion,2023-01-19
860544,Alumni Reunion,2022-07-12
510647,Faculty Meet and Greet,2024-08-07
312592,Alumni Happy Hour Mixer,2023-09-14
338486,Alumni Baseball Game,2024-03-02
338486,Family Weekend Mixer,2025-03-01
645699,Family Weekend Mixer,2025-09-18
608539,Alumni Happy Hour Mixer,2021-11-13
346058,Alumni Baseball Game,2022-09-12
503691,New Parent BBQ,2023-11-04
256972,Holiday Mixer,2023-10-16
664028,Alumni Baseball Game,2022-05-09
544987,Alumni Baseball Game,2023-10-14
522320,Family Weekend Mixer,2025-09-22
454227,Alumni Reunion,2024-02-16
454227,Family Weekend Mixer,2025-03-15
454227,Faculty Meet and Greet,2020-11-28
814541,Alumni Reunion,2024-02-28
683106,Alumni Happy Hour Mixer,2025-08-25
402035,Family Weekend Mixer,2016-01-10
718897,Family Weekend Mixer,2020-03-08
448522,Alumni Reunion,2021-09-18
448522,Speaker Spotlight,2024-03-02
480123,Family Weekend Mixer,2016-08-23
986574,Alumni Happy Hour Mixer,2022-10-05
477289,Alumni Reunion,2019-03-15
477289,Campus Tour,2020-01-23
904495,Family Weekend Mixer,2025-08-23
505796,Alumni Reunion,2020-05-11
779280,Family Weekend Mixer,2017-08-10
779280,Faculty Meet and Greet,2017-11-01
921827,Alumni Happy Hour Mixer,2025-03-21
388367,Alumni Happy Hour Mixer,2023-03-27
430034,Alumni Baseball Game,2023-03-08
682003,Alumni Happy Hour Mixer,2018-02-10
602966,Alumni Happy Hour Mixer,2024-10-11
602966,Alumni Happy Hour Mixer,2023-01-24
520530,Holiday Mixer,2025-06-18
689315,Alumni Happy Hour Mixer,2023-11-28
661183,Alumni Baseball Game,2025-10-01
661183,Family Weekend Mixer,2024-07-06
746646,Alumni Happy Hour Mixer,2023-11-21
681386,Speaker Spotlight,2025-02-08
685257,Alumni Happy Hour Mixer,2017-05-23
743820,Family Weekend Mixer,2018-07-02
276220,Alumni Baseball Game,2020-05-25
344049,Family Weekend Mixer,2020-05-28
374220,Alumni Baseball Game,2022-04-24
924386,Alumni Baseball Game,2023-01-14
518237,Family Weekend Mixer,2023-06-28
160912,Alumni Reunion,2021-07-22
160912,Speaker Spotlight,2022-03-06
826593,Family Weekend Mixer,2019-05-18
680266,Speaker Spotlight,2024-06-07
680266,Faculty Meet and Greet,2025-10-20
725027,Alumni Reunion,2022-04-03
450547,Family Weekend Mixer,2021-06-09
359408,Campus Tour,2024-10-11
336967,Alumni Happy Hour Mixer,2025-08-10
919170,Family Weekend Mixer,2024-06-21
218042,Alumni Reunion,2022-05-01
218042,Family Weekend Mixer,2024-09-05
477401,Alumni Happy Hour Mixer,2025-06-28
420057,Alumni Happy Hour Mixer,2021-09-16
540983,Alumni Baseball Game,2016-02-17
540983,Holiday Mixer,2017-01-05
841387,Family Weekend Mixer,2023-10-15
546548,Speaker Spotlight,2024-09-14
471442,Alumni Happy Hour Mixer,2025-09-25
532744,Alumni Reunion,2023-08-14
476407,Faculty Meet and Greet,2023-09-10
664097,Family Weekend Mixer,2022-11-26
507267,Family Weekend Mixer,2022-08-26
998256,New Parent BBQ,2024-11-28
998256,Holiday Mixer,2019-05-28
511781,Alumni Happy Hour Mixer,2017-09-14
146730,New Parent BBQ,2023-08-26
633856,Alumni Baseball Game,2016-06-12
194686,Family Weekend Mixer,2015-04-18
437904,Alumni Baseball Game,2020-08-17
727458,Family Weekend Mixer,2019-11-23
514134,Alumni Reunion,2021-06-02
514134,Alumni Happy Hour Mixer,2021-05-16
851734,Family Weekend Mixer,2016-06-16
898192,New Parent BBQ,2023-08-10
382140,Family Weekend Mixer,2025-05-17
368347,Alumni Baseball Game,2020-12-24
663469,Holiday Mixer,2024-07-22
517944,Alumni Happy Hour Mixer,2025-02-07
517944,Speaker Spotlight,2020-11-01
880743,Faculty Meet and Greet,2022-02-21
774023,Alumni Baseball Game,2022-05-26
718784,Family Weekend Mixer,2018-06-08
723745,Alumni Reunion,2023-09-06
796690,Alumni Happy Hour Mixer,2024-08-06
556288,Family Weekend Mixer,2018-11-17
873282,Alumni Baseball Game,2023-05-18
394800,Holiday Mixer,2020-09-24
953063,Alumni Baseball Game,2021-07-10
504650,Alumni Happy Hour Mixer,2025-09-19
504650,Family Weekend Mixer,2019-10-10
803455,Alumni Happy Hour Mixer,2024-05-13
283561,Alumni Happy Hour Mixer,2024-05-14
149900,Family Weekend Mixer,2024-07-02
909382,Alumni Happy Hour Mixer,2019-02-25
120178,Family Weekend Mixer,2018-08-06
815017,New Parent BBQ,2019-03-26
857624,Family Weekend Mixer,2023-05-16
468479,Speaker Spotlight,2023-08-23
482889,Alumni Happy Hour Mixer,2023-05-01
280969,Alumni Reunion,2021-09-21
345603,Alumni Happy Hour Mixer,2025-09-09
618377,Family Weekend Mixer,2019-06-06
809723,Holiday Mixer,2025-04-07
