Donor_ID,Family_ID,Relationship_Type
167534,27679,Child
432098,13532,Head
670221,10450,Head
337140,25189,Spouse
576553,19839,Head
413641,34616,Head
497862,39787,Child
860768,31555,Head
108607,22797,Spouse
488948,26439,Spouse
697166,27339,Child
379562,21420,Spouse
939393,24420,Spouse
206726,22167,Spouse
593425,32648,Child
685944,13332,Head
871956,18437,Head
671515,19996,Spouse
934941,39826,Head
721805,14848,Child
300736,19124,Head
586629,34933,Head
212573,19621,Head
404805,15989,Spouse
631927,15110,Spouse
807825,25683,Child
987580,28542,Head
519090,23294,Head
258321,30204,Child
457008,26652,Head
325276,24914,Spouse
723597,39662,Child
351455,18666,Spouse
248158,21682,Child
866403,38148,Head
443913,11444,Parent
349270,41110,Child
621332,36882,Spouse
756791,37771,Child
284941,17704,Spouse
550205,30936,Spouse
163870,17551,Spouse
984885,37356,Spouse
727205,12749,Head
417792,27311,Head
191101,27836,Parent
803890,42899,Spouse
617962,14298,Head
791027,36209,Child
110799,10420,Spouse
645086,37460,Head
546625,12484,Spouse
830544,25970,Child
165166,15273,Spouse
866815,41104,Child
164249,41403,Head
688018,23473,Spouse
287788,31608,Head
395341,22144,Head
939085,32760,Spouse
903889,38485,Spouse
897764,40544,Spouse
740448,24836,Head
466948,22908,Child
880964,24193,Head
314733,22524,Head
483276,12396,Head
857536,16774,Spouse
620471,37314,Head
956110,40528,Child
936930,24924,Spouse
670640,11607,Head
127393,31204,Head
493284,16982,Head
412060,22063,Head
348347,39674,Spouse
360794,17741,Spouse
828878,14418,Spouse
497990,20172,Spouse
361586,40085,Head
948125,26722,Spouse
345466,31114,Head
523477,37455,Child
362980,14117,Head
963716,25170,Head
315141,43076,Child
252439,30749,Head
720000,43307,Head
373122,35018,Head
716894,14316,Spouse
567933,31849,Parent
142947,32683,Head
123409,26111,Child
999117,15026,Spouse
765487,30795,Child
307075,31726,Spouse
889349,24012,Child
864852,16599,Parent
611742,12200,Child
744484,43251,Head
849980,42366,Head
489408,24837,Child
