Donor_ID,Event_Name,Attendance_Date
218980,Alumni Reunion,2018-07-24
956862,Alumni Reunion,2017-09-08
616998,Alumni Happy Hour Mixer,2019-07-26
278012,Alumni Baseball Game,2023-11-15
374958,Family Weekend Mixer,2025-04-05
214977,Alumni Happy Hour Mixer,2024-11-22
825138,Family Weekend Mixer,2018-05-23
476867,Alumni Reunion,2025-05-22
476867,Alumni Happy Hour Mixer,2020-07-03
928188,Alumni Reunion,2022-03-16
703593,Family Weekend Mixer,2022-03-16
342162,Holiday Mixer,2023-08-21
771764,Faculty Meet and Greet,2024-06-07
749673,Alumni Happy Hour Mixer,2025-01-04
140740,Alumni Reunion,2018-02-13
942095,Alumni Happy Hour Mixer,2024-11-28
845193,Alumni Baseball Game,2019-12-05
672616,Alumni Reunion,2024-04-04
578770,New Parent BBQ,2021-08-23
482490,Campus Tour,2022-11-27
165196,Alumni Reunion,2024-01-18
165196,Alumni Baseball Game,2020-06-17
394436,Alumni Happy Hour Mixer,2019-07-21
366406,Alumni Happy Hour Mixer,2023-08-09
974130,Alumni Baseball Game,2024-06-01
229445,Campus Tour,2024-12-13
936103,Alumni Reunion,2020-07-20
964972,Alumni Reunion,2023-04-11
435002,Speaker Spotlight,2025-06-07
834688,Family Weekend Mixer,2023-10-12
683020,Alumni Happy Hour Mixer,2024-04-25
646544,Alumni Happy Hour Mixer,2017-08-10
608743,Alumni Baseball Game,2021-10-04
608743,Family Weekend Mixer,2021-04-09
237520,Alumni Reunion,2023-02-24
240130,Alumni Baseball Game,2025-04-28
240130,Alumni Happy Hour Mixer,2022-09-01
804276,Alumni Baseball Game,2021-05-21
560192,Alumni Reunion,2025-10-05
228899,Alumni Reunion,2025-08-30
583590,Alumni Reunion,2025-01-05
848201,Alumni Happy Hour Mixer,2023-03-02
970446,Family Weekend Mixer,2017-11-01
839864,Alumni Reunion,2015-01-06
839864,Alumni Reunion,2024-01-04
283183,Alumni Happy Hour Mixer,2019-01-01
814700,Faculty Meet and Greet,2023-03-10
865307,Alumni Baseball Game,2016-08-11
132287,Alumni Reunion,2023-03-01
559724,Faculty Meet and Greet,2024-06-10
891742,Alumni Baseball Game,2020-03-06
219325,Family Weekend Mixer,2020-10-08
219325,Faculty Meet and Greet,2018-01-13
127452,Alumni Reunion,2021-02-01
127452,Family Weekend Mixer,2024-09-03
381360,New Parent BBQ,2025-02-12
867183,Alumni Reunion,2025-07-21
700706,Alumni Baseball Game,2019-02-13
659344,Alumni Happy Hour Mixer,2019-07-18
659344,Faculty Meet and Greet,2017-06-06
399843,Family Weekend Mixer,2018-08-18
418475,Holiday Mixer,2023-03-15
903529,Alumni Reunion,2018-05-18
218697,Alumni Baseball Game,2015-03-05
223702,Alumni Baseball Game,2023-02-14
704220,Alumni Happy Hour Mixer,2020-10-28
423928,Campus Tour,2021-01-27
184027,Alumni Happy Hour Mixer,2024-02-13
766730,Campus Tour,2024-09-01
597985,Family Weekend Mixer,2018-08-06
649424,Alumni Happy Hour Mixer,2024-02-05
379073,Alumni Happy Hour Mixer,2024-06-19
314440,Alumni Reunion,2023-05-05
156007,Family Weekend Mixer,2016-03-24
156007,Speaker Spotlight,2022-01-13
156007,Speaker Spotlight,2022-11-06
602970,Alumni Baseball Game,2023-02-26
602970,Family Weekend Mixer,2023-04-08
321288,Alumni Happy Hour Mixer,2022-05-13
264121,Alumni Baseball Game,2020-11-06
264121,Faculty Meet and Greet,2024-12-26
695177,Alumni Happy Hour Mixer,2024-11-25
819101,Family Weekend Mixer,2025-09-01
172693,Alumni Baseball Game,2023-03-20
296781,Alumni Reunion,2015-10-02
859540,Family Weekend Mixer,2022-10-05
945321,Speaker Spotlight,2025-06-27
115112,Alumni Happy Hour Mixer,2022-08-16
115112,Family Weekend Mixer,2018-02-15
214849,Alumni Reunion,2016-09-27
341601,Holiday Mixer,2025-05-04
301217,Alumni Baseball Game,2021-04-08
244599,Alumni Reunion,2018-04-25
196376,Family Weekend Mixer,2021-04-01
559673,Family Weekend Mixer,2025-10-03
796031,Alumni Baseball Game,2023-03-22
960438,Alumni Happy Hour Mixer,2022-02-14
304639,Alumni Happy Hour Mixer,2017-10-03
858616,Family Weekend Mixer,2017-08-21
272580,Campus Tour,2023-09-06
957860,Alumni Baseball Game,2019-02-05
957860,Speaker Spotlight,2023-01-13
665802,Alumni Baseball Game,2025-02-02
665802,Alumni Happy Hour Mixer,2018-02-06
484191,Alumni Reunion,2024-01-17
319971,New Parent BBQ,2022-08-19
602918,Alumni Reunion,2022-02-05
969477,Speaker Spotlight,2024-05-04
998973,Alumni Reunion,2023-04-23
839151,Holiday Mixer,2025-06-07
299628,Speaker Spotlight,2022-07-19
858886,Alumni Reunion,2025-01-08
338488,Alumni Reunion,2025-05-18
219662,Holiday Mixer,2024-07-10
633143,Speaker Spotlight,2019-04-26
423997,Alumni Happy Hour Mixer,2023-10-22
885410,Alumni Happy Hour Mixer,2020-04-27
717192,Alumni Happy Hour Mixer,2020-10-24
849700,Speaker Spotlight,2018-09-24
481212,Alumni Reunion,2024-11-13
154914,Alumni Reunion,2025-09-10
899615,Alumni Reunion,2017-10-22
213575,Alumni Baseball Game,2019-03-19
658517,Alumni Happy Hour Mixer,2019-04-17
804332,Family Weekend Mixer,2021-12-16
265209,Alumni Baseball Game,2023-04-05
996184,Alumni Baseball Game,2024-09-17
996184,Family Weekend Mixer,2020-08-07
996184,Faculty Meet and Greet,2025-05-26
961534,Alumni Reunion,2025-08-18
173210,Family Weekend Mixer,2019-11-06
669438,Alumni Happy Hour Mixer,2019-06-10
657987,Speaker Spotlight,2025-07-21
263869,Speaker Spotlight,2024-11-22
446069,Family Weekend Mixer,2023-08-03
446069,Holiday Mixer,2023-04-26
990768,Alumni Baseball Game,2020-02-27
159176,Family Weekend Mixer,2019-07-26
159176,Holiday Mixer,2018-04-04
159176,Faculty Meet and Greet,2024-05-19
622956,Alumni Happy Hour Mixer,2024-05-04
658009,Alumni Happy Hour Mixer,2020-03-12
362229,Family Weekend Mixer,2025-09-25
845365,Family Weekend Mixer,2020-10-14
224894,Faculty Meet and Greet,2025-05-04
686808,Holiday Mixer,2019-06-07
809848,Alumni Reunion,2022-03-12
809848,Alumni Baseball Game,2016-07-21
809848,New Parent BBQ,2023-08-18
566818,Alumni Reunion,2019-03-27
566818,Faculty Meet and Greet,2025-02-09
905422,Alumni Reunion,2018-01-05
841652,Alumni Baseball Game,2025-03-07
900916,Speaker Spotlight,2022-02-19
230261,Family Weekend Mixer,2020-04-07
745726,Family Weekend Mixer,2022-12-19
138742,Alumni Baseball Game,2019-01-06
691375,Alumni Happy Hour Mixer,2023-04-14
326588,Alumni Happy Hour Mixer,2020-04-13
183449,Family Weekend Mixer,2021-10-04
296012,Alumni Happy Hour Mixer,2018-08-07
792991,New Parent BBQ,2020-06-21
792991,Family Weekend Mixer,2020-08-03
792991,Family Weekend Mixer,2019-02-20
792991,Campus Tour,2018-02-03
572103,Alumni Baseball Game,2024-08-27
405448,Holiday Mixer,2021-07-15
918313,Alumni Happy Hour Mixer,2023-01-13
492619,Family Weekend Mixer,2024-05-28
644503,Family Weekend Mixer,2019-01-08
758878,Family Weekend Mixer,2017-11-17
121785,Alumni Happy Hour Mixer,2022-01-13
413888,Campus Tour,2023-04-15
995729,Family Weekend Mixer,2015-07-16
472280,Faculty Meet and Greet,2021-11-23
867200,Alumni Happy Hour Mixer,2025-10-03
130867,Speaker Spotlight,2019-02-10
764524,Alumni Baseball Game,2015-11-23
764524,Alumni Happy Hour Mixer,2021-07-28
294490,Alumni Happy Hour Mixer,2025-08-28
201108,Alumni Baseball Game,2019-08-01
201108,Alumni Happy Hour Mixer,2025-01-14
621315,Alumni Reunion,2020-03-17
818396,Alumni Reunion,2024-03-24
818396,Alumni Baseball Game,2020-08-10
864630,Family Weekend Mixer,2018-11-28
776985,Family Weekend Mixer,2024-02-26
788036,Alumni Baseball Game,2023-09-17
811488,Alumni Happy Hour Mixer,2022-03-24
792463,Alumni Reunion,2021-02-05
101311,Alumni Reunion,2024-07-15
544081,Campus Tour,2025-10-16
184113,Alumni Reunion,2024-08-06
843040,Campus Tour,2016-03-06
371756,Alumni Reunion,2020-11-07
935123,Speaker Spotlight,2019-08-08
486822,Alumni Reunion,2025-02-14
534427,Faculty Meet and Greet,2025-02-26
610871,Family Weekend Mixer,2020-06-14
685191,Holiday Mixer,2023-05-15
829949,Family Weekend Mixer,2024-01-09
332054,Speaker Spotlight,2018-08-10
408993,Alumni Reunion,2019-04-08
408993,Speaker Spotlight,2019-03-14
734844,Alumni Reunion,2023-06-22
664108,Alumni Reunion,2017-11-13
257902,Alumni Reunion,2024-07-11
257902,Alumni Happy Hour Mixer,2022-12-11
629607,Speaker Spotlight,2022-01-16
629607,Holiday Mixer,2020-11-08
629607,Alumni Reunion,2023-09-24
629607,Alumni Reunion,2019-06-28
629607,Speaker Spotlight,2022-11-18
856199,Alumni Baseball Game,2024-05-04
856199,Alumni Happy Hour Mixer,2025-03-19
386151,Family Weekend Mixer,2019-12-10
258981,Alumni Reunion,2017-08-07
258981,Holiday Mixer,2021-06-13
710002,Speaker Spotlight,2016-07-22
979174,Alumni Reunion,2018-09-07
979174,Faculty Meet and Greet,2025-06-13
359015,Family Weekend Mixer,2021-12-14
359015,Holiday Mixer,2025-09-18
538119,Alumni Reunion,2024-02-11
538119,Alumni Happy Hour Mixer,2015-03-14
453988,Family Weekend Mixer,2017-04-25
149133,Alumni Reunion,2018-08-18
149133,Alumni Baseball Game,2015-12-25
149133,Family Weekend Mixer,2025-10-22
149133,Alumni Reunion,2025-04-17
544162,Campus Tour,2025-09-08
697288,Family Weekend Mixer,2024-04-16
704973,Speaker Spotlight,2021-08-24
827435,Family Weekend Mixer,2017-10-14
986547,Alumni Reunion,2020-08-07
131375,Alumni Reunion,2021-10-16
377006,Alumni Reunion,2019-05-13
929773,Speaker Spotlight,2022-02-18
344875,Speaker Spotlight,2025-07-08
355837,Alumni Baseball Game,2016-03-09
356208,Alumni Baseball Game,2017-05-02
484613,Holiday Mixer,2023-01-07
484613,Campus Tour,2021-06-12
677071,Alumni Happy Hour Mixer,2017-11-25
288483,Family Weekend Mixer,2019-05-12
162985,Alumni Reunion,2016-10-17
745810,Alumni Reunion,2022-03-18
367524,Alumni Baseball Game,2018-11-15
693951,Faculty Meet and Greet,2024-01-01
615106,Alumni Happy Hour Mixer,2025-02-17
953507,New Parent BBQ,2020-08-15
911231,Alumni Reunion,2024-09-15
326603,Family Weekend Mixer,2022-04-19
477941,Alumni Reunion,2021-06-12
477941,Alumni Happy Hour Mixer,2015-09-10
477941,Family Weekend Mixer,2025-04-22
477941,Faculty Meet and Greet,2018-02-10
