Donor_ID,Family_ID,Relationship_Type
876634,41821,Child
992728,15477,Child
176999,42443,Head
681296,19698,Spouse
917798,33995,Spouse
744435,27981,Head
332418,40841,Spouse
990986,15770,Child
906340,31802,Spouse
619382,22966,Spouse
855649,40585,Spouse
550039,35782,Spouse
457400,35444,Child
790073,42933,Spouse
835171,11728,Head
710980,19297,Spouse
838085,27861,Child
402207,34256,Head
271208,40476,Head
387399,23211,Head
913667,42517,Spouse
208232,15976,Child
934924,11963,Spouse
376417,10824,Head
813141,19472,Spouse
238100,15891,Head
553192,13186,Head
722981,30401,Head
684583,12260,Head
370418,37711,Spouse
404460,20918,Head
564584,31615,Spouse
462174,27806,Spouse
304735,42840,Spouse
649911,17557,Spouse
592215,27868,Head
506936,33788,Spouse
895402,42614,Spouse
509185,42564,Child
905299,29127,Head
761993,14659,Child
146981,40190,Head
265818,33717,Child
437944,38426,Child
135490,33495,Head
423904,27028,Spouse
165555,19796,Child
257494,33402,Spouse
191914,28344,Head
224808,14563,Spouse
965462,27222,Spouse
341104,40913,Spouse
353965,15926,Head
229582,28919,Head
733897,10266,Spouse
706760,33917,Head
337209,14005,Child
860781,12795,Spouse
214297,11867,Head
664394,39059,Spouse
378123,23628,Head
720485,40049,Child
670416,15601,Head
418491,25944,Head
201364,38769,Head
339165,16539,Child
460504,12824,Spouse
644544,24992,Spouse
909874,32129,Child
323563,13469,Spouse
659086,27938,Head
250686,13508,Spouse
437567,20901,Head
126468,28224,Child
447203,20727,Head
148299,34133,Head
483279,25130,Head
680930,33858,Head
871979,17682,Spouse
652879,19525,Head
594641,25992,Spouse
374722,30495,Head
595782,12689,Head
146410,36339,Head
666582,19257,Spouse
672503,16704,Child
242883,20576,Head
788565,42727,Head
604118,12688,Spouse
186192,36073,Head
330548,23803,Head
115964,34644,Head
944386,23238,Spouse
390836,25632,Head
201381,29849,Head
228431,11219,Spouse
390064,30737,Head
930287,23921,Head
763938,20871,Spouse
835068,18530,Spouse
172162,36035,Parent
656461,26801,Child
648922,27704,Head
948295,10303,Parent
558337,20899,Spouse
985080,25041,Child
223374,14709,Head
867385,25043,Head
515595,39066,Spouse
995273,15340,Head
581341,37659,Child
118873,41027,Head
804863,22967,Spouse
269926,24096,Head
262167,12274,Spouse
289776,42522,Spouse
820833,21552,Spouse
664937,23993,Child
273049,39046,Child
928517,13257,Head
899599,20098,Head
561755,27840,Child
374127,15561,Head
111632,41262,Spouse
856990,21552,Child
516381,27225,Head
364633,10462,Child
390578,17817,Head
689741,12975,Spouse
937117,27747,Head
374085,19735,Spouse
841889,27449,Child
421839,18227,Spouse
336479,25209,Head
954156,14019,Child
530723,21223,Head
976010,35782,Head
873967,30438,Spouse
945666,24425,Head
752911,12316,Head
483891,20584,Spouse
695545,11894,Spouse
318752,34149,Spouse
176518,35148,Spouse
784046,14399,Child
938281,30405,Spouse
615258,19568,Child
310222,17089,Spouse
113616,23190,Child
220566,31855,Spouse
128907,28019,Head
739410,34710,Head
211424,20600,Head
885785,41944,Spouse
650056,29672,Head
790669,16452,Spouse
732067,20207,Child
193913,29773,Spouse
977737,32999,Head
290324,43239,Child
513562,21820,Spouse
223911,38272,Spouse
939871,24321,Head
580320,13511,Spouse
693393,12249,Head
964479,16356,Head
304964,32688,Head
224303,20387,Spouse
748624,35670,Head
865625,22448,Spouse
949674,11890,Child
544607,40766,Child
633081,19879,Spouse
649186,35622,Spouse
496888,27475,Child
602109,39840,Parent
303997,25380,Spouse
387107,10880,Spouse
384732,26294,Head
902386,18134,Spouse
467683,35344,Spouse
506056,21519,Spouse
388438,29579,Parent
482252,37846,Child
686319,28967,Spouse
812220,32125,Head
517714,21861,Child
943820,39014,Head
393242,13412,Spouse
492793,37366,Child
989620,41238,Child
308374,13054,Head
659601,11898,Spouse
951305,31266,Child
329033,11329,Head
285260,14101,Head
208380,14296,Child
658852,21188,Child
762322,39960,Spouse
709669,39300,Spouse
311907,23976,Head
405504,32304,Head
589977,24502,Head
394788,21434,Child
825254,42449,Spouse
139156,41467,Head
698082,38770,Child
749415,40617,Head
216873,32801,Spouse
894721,25186,Head
173207,11922,Child
287736,37765,Child
612998,20503,Head
215526,33939,Spouse
375115,41897,Spouse
643549,36109,Head
191430,34157,Head
653758,18782,Head
523087,26219,Child
653498,28295,Child
450350,35172,Spouse
163399,33826,Spouse
604244,21235,Spouse
189334,31668,Head
615882,28083,Head
727280,20074,Spouse
775920,15001,Spouse
872191,30154,Head
622431,16988,Head
531201,12166,Spouse
169350,22593,Child
758472,38728,Head
772325,26371,Parent
305812,36224,Child
553886,25877,Child
811347,35450,Child
235576,15318,Head
639044,23967,Head
160561,36850,Head
110371,25064,Head
223400,21529,Child
356752,24270,Spouse
930326,10008,Head
795436,38939,Spouse
875272,29882,Head
878498,23087,Head
105325,29645,Head
847892,30298,Spouse
262020,35827,Spouse
230230,31647,Spouse
266674,10534,Head
316764,24543,Head
727170,28045,Spouse
752686,35196,Child
987215,40013,Spouse
357831,40460,Child
470377,12560,Head
944202,28466,Head
223181,39270,Spouse
826524,41283,Spouse
946984,20233,Spouse
158160,35794,Head
401869,19653,Head
608992,37213,Head
729148,21960,Child
314510,41030,Head
884826,32626,Head
384054,23034,Child
445514,21991,Head
348200,41257,Head
210077,11736,Head
296916,30800,Spouse
557798,14353,Head
715389,16731,Child
479937,42885,Head
777926,34360,Spouse
156243,33021,Spouse
229953,43187,Head
543780,22050,Spouse
863290,17404,Child
374519,19944,Head
808005,18943,Head
938029,20912,Head
699899,35484,Head
242847,11841,Head
367709,24082,Spouse
527003,10372,Spouse
724594,30034,Child
463509,26416,Spouse
911167,11487,Spouse
987395,27900,Child
893386,23700,Spouse
259953,41990,Child
568332,18088,Spouse
445752,31400,Spouse
490179,24600,Head
487907,42854,Spouse
842433,42037,Spouse
639297,25271,Head
402470,21864,Head
117853,13268,Spouse
728983,19168,Spouse
674010,12527,Spouse
873022,30918,Child
612312,28964,Child
445916,34127,Head
869903,13569,Spouse
929669,30653,Child
229944,15220,Child
262387,24693,Child
812549,35266,Head
994069,36886,Child
396660,15788,Spouse
452730,38054,Spouse
452543,22146,Head
556278,20642,Spouse
940349,39977,Parent
229002,36449,Head
607148,29311,Head
633698,21342,Head
942565,10944,Head
852394,30487,Spouse
310683,43164,Spouse
596657,22745,Spouse
509960,39498,Child
814761,30336,Head
354352,28198,Head
540647,31284,Child
928433,36990,Head
182081,24623,Spouse
487369,38938,Head
134580,25558,Head
624051,37309,Spouse
959976,25388,Head
165833,18686,Head
653871,27332,Head
833331,21641,Spouse
878942,18348,Head
604086,35038,Head
421864,18581,Head
902143,16914,Child
923022,20317,Head
597414,17965,Spouse
738985,15031,Child
276962,34228,Child
507026,14289,Spouse
795993,11049,Child
361432,19558,Parent
947339,11333,Child
785343,19820,Head
497257,33977,Spouse
932491,25668,Spouse
711672,38602,Spouse
682504,35098,Head
290905,38540,Child
919464,12128,Spouse
797291,10219,Child
379224,16597,Spouse
155000,24432,Head
590429,34621,Head
382949,28409,Head
505595,32183,Head
639682,42680,Spouse
533768,35219,Head
415413,39549,Head
841179,29606,Head
646126,36884,Child
102232,10774,Spouse
469687,43190,Child
453710,37745,Head
514815,13712,Child
730880,27735,Head
138190,15743,Spouse
964852,19602,Head
555494,14677,Spouse
472382,31444,Child
938479,34305,Spouse
365494,21417,Spouse
552244,37283,Head
564599,27604,Spouse
362206,29649,Child
486566,15147,Child
361682,25497,Child
464486,41234,Head
789330,12329,Head
948989,20392,Head
