Donor_ID,Event_Name,Attendance_Date
441113,Alumni Reunion,2024-06-17
915020,Alumni Baseball Game,2023-11-23
706509,Speaker Spotlight,2025-06-20
706509,Faculty Meet and Greet,2021-05-23
650911,Family Weekend Mixer,2022-08-03
895340,Holiday Mixer,2017-08-24
522279,Alumni Reunion,2015-01-14
522279,Alumni Baseball Game,2023-01-03
970398,Alumni Baseball Game,2020-01-03
199734,Alumni Baseball Game,2016-05-10
115674,Holiday Mixer,2021-08-26
120310,Family Weekend Mixer,2018-07-03
494546,Alumni Baseball Game,2018-12-14
169298,Alumni Happy Hour Mixer,2025-09-05
902491,Alumni Happy Hour Mixer,2024-08-17
960171,Alumni Reunion,2018-04-18
960171,Faculty Meet and Greet,2018-08-19
193374,New Parent BBQ,2022-01-20
295436,Family Weekend Mixer,2024-12-14
309744,Alumni Reunion,2022-05-24
309744,Speaker Spotlight,2022-03-25
309744,Campus Tour,2016-08-12
775683,Alumni Baseball Game,2022-06-10
822741,Alumni Reunion,2022-02-06
946451,Family Weekend Mixer,2025-07-25
864503,Family Weekend Mixer,2019-07-20
864503,Faculty Meet and Greet,2024-11-16
659435,Holiday Mixer,2022-09-12
360044,Alumni Baseball Game,2024-12-12
699274,Alumni Reunion,2025-01-13
898561,Alumni Happy Hour Mixer,2024-12-14
470108,Faculty Meet and Greet,2023-03-25
543150,Alumni Happy Hour Mixer,2025-05-03
926377,Alumni Reunion,2024-03-16
831237,Faculty Meet and Greet,2024-05-23
491635,Alumni Happy Hour Mixer,2022-04-20
642585,Family Weekend Mixer,2025-03-02
756518,Family Weekend Mixer,2022-07-24
656107,Family Weekend Mixer,2021-10-02
781537,Alumni Reunion,2017-08-18
679078,Family Weekend Mixer,2023-11-05
579933,New Parent BBQ,2020-12-15
170572,Alumni Reunion,2025-04-10
170572,Speaker Spotlight,2024-11-01
614844,Family Weekend Mixer,2016-02-01
334880,New Parent BBQ,2021-01-04
155868,Alumni Happy Hour Mixer,2022-10-22
996458,Faculty Meet and Greet,2024-01-09
874065,Family Weekend Mixer,2023-03-19
980662,Alumni Reunion,2020-09-26
455114,Family Weekend Mixer,2023-11-16
600344,Alumni Reunion,2025-01-27
600344,Alumni Baseball Game,2017-05-27
898338,Alumni Reunion,2020-08-10
303305,Speaker Spotlight,2021-06-13
907501,Alumni Happy Hour Mixer,2025-06-01
907501,Alumni Reunion,2022-11-05
559245,Family Weekend Mixer,2023-11-13
604701,Alumni Happy Hour Mixer,2025-05-22
747924,Family Weekend Mixer,2022-07-11
453522,Alumni Reunion,2019-04-21
832647,Alumni Reunion,2024-04-01
721672,Alumni Baseball Game,2020-08-21
276198,Alumni Happy Hour Mixer,2024-07-11
786774,Family Weekend Mixer,2022-10-12
364061,Family Weekend Mixer,2023-09-12
286385,Faculty Meet and Greet,2024-09-03
203055,Holiday Mixer,2018-01-18
405716,Alumni Happy Hour Mixer,2018-02-26
712829,Alumni Baseball Game,2021-08-27
527088,Alumni Happy Hour Mixer,2024-07-05
527088,Family Weekend Mixer,2024-03-14
527088,Alumni Reunion,2023-06-15
527088,Alumni Happy Hour Mixer,2021-03-02
277215,Alumni Happy Hour Mixer,2025-09-28
671426,Alumni Happy Hour Mixer,2021-02-24
467236,Family Weekend Mixer,2024-08-21
521764,Campus Tour,2021-08-07
320811,Family Weekend Mixer,2023-07-07
947777,Alumni Baseball Game,2022-08-13
739201,Alumni Reunion,2017-08-11
642699,Faculty Meet and Greet,2021-05-11
337337,Holiday Mixer,2024-02-20
642967,Family Weekend Mixer,2016-08-18
236137,Alumni Reunion,2024-01-01
636485,Faculty Meet and Greet,2016-04-08
876164,Alumni Happy Hour Mixer,2018-01-12
773208,Alumni Reunion,2024-05-27
773208,Alumni Baseball Game,2021-12-09
768312,Alumni Baseball Game,2022-03-16
292032,Alumni Baseball Game,2023-08-10
432050,Campus Tour,2023-02-13
771633,Family Weekend Mixer,2022-03-04
447818,Family Weekend Mixer,2021-10-06
447818,Speaker Spotlight,2023-12-24
954911,Faculty Meet and Greet,2020-06-22
752617,Campus Tour,2021-09-11
761193,Alumni Baseball Game,2023-06-05
846405,Alumni Reunion,2022-05-20
846405,Alumni Baseball Game,2024-10-12
450792,Alumni Happy Hour Mixer,2021-02-10
696846,Alumni Happy Hour Mixer,2021-04-24
