Donor_ID,Event_Name,Attendance_Date
502331,Alumni Reunion,2024-04-13
306426,Alumni Happy Hour Mixer,2021-08-10
864157,Alumni Baseball Game,2018-07-25
864157,Alumni Reunion,2023-02-11
570333,Alumni Reunion,2020-09-22
577909,Faculty Meet and Greet,2025-02-27
620939,Alumni Reunion,2019-09-04
359935,Alumni Happy Hour Mixer,2020-12-01
727968,New Parent BBQ,2018-04-12
704612,Alumni Reunion,2022-12-16
261554,Alumni Happy Hour Mixer,2019-12-28
124505,Family Weekend Mixer,2017-02-15
744591,Alumni Reunion,2024-08-11
339252,Alumni Baseball Game,2018-11-28
253076,Alumni Reunion,2024-04-13
253076,Alumni Baseball Game,2024-11-24
444880,Alumni Baseball Game,2024-12-08
444880,Family Weekend Mixer,2022-04-01
524037,Alumni Baseball Game,2020-02-22
155997,Alumni Happy Hour Mixer,2018-03-15
172526,Alumni Happy Hour Mixer,2020-03-17
321030,Alumni Reunion,2024-04-18
258525,Family Weekend Mixer,2018-10-06
333898,Alumni Reunion,2019-12-23
333898,Alumni Happy Hour Mixer,2023-01-02
480518,Faculty Meet and Greet,2015-12-25
278829,Speaker Spotlight,2024-10-21
174978,Alumni Reunion,2024-10-24
172055,Alumni Reunion,2019-10-16
172055,Alumni Happy Hour Mixer,2025-09-06
580433,Alumni Reunion,2025-10-18
293795,Alumni Baseball Game,2017-03-26
533070,Family Weekend Mixer,2021-05-02
375349,Faculty Meet and Greet,2020-04-13
432477,New Parent BBQ,2024-08-05
558039,Alumni Reunion,2015-03-04
558039,Family Weekend Mixer,2024-11-17
112121,Alumni Happy Hour Mixer,2019-10-12
636353,Family Weekend Mixer,2018-01-05
583309,Alumni Reunion,2021-01-10
583309,Family Weekend Mixer,2022-01-25
458943,Alumni Reunion,2019-04-12
458943,Alumni Baseball Game,2024-02-06
872638,Speaker Spotlight,2020-09-08
875150,Family Weekend Mixer,2023-06-19
868038,Family Weekend Mixer,2022-06-25
115213,Alumni Reunion,2022-07-04
969502,Alumni Reunion,2019-09-28
565937,Faculty Meet and Greet,2023-02-27
703039,Alumni Reunion,2025-01-25
703039,Family Weekend Mixer,2020-03-05
663532,Family Weekend Mixer,2024-03-16
320684,Family Weekend Mixer,2017-07-21
563116,Family Weekend Mixer,2022-11-06
507303,New Parent BBQ,2023-12-11
519105,Alumni Baseball Game,2025-08-13
627218,Family Weekend Mixer,2023-02-04
585585,Alumni Happy Hour Mixer,2023-02-07
831570,Alumni Reunion,2021-06-22
291665,Family Weekend Mixer,2020-02-22
343128,Alumni Baseball Game,2024-05-25
942756,Alumni Reunion,2021-07-16
942756,Family Weekend Mixer,2017-04-04
942756,Alumni Reunion,2018-07-08
418648,Faculty Meet and Greet,2024-02-03
572364,Alumni Reunion,2024-07-24
572364,Alumni Baseball Game,2017-12-21
471825,Family Weekend Mixer,2025-03-19
195046,Alumni Baseball Game,2024-04-28
463665,Alumni Reunion,2019-07-02
127003,Alumni Baseball Game,2022-06-05
603827,Family Weekend Mixer,2023-03-12
891071,Alumni Reunion,2023-05-20
891071,Speaker Spotlight,2017-12-15
891071,Faculty Meet and Greet,2025-09-27
856165,Family Weekend Mixer,2017-01-16
238623,Speaker Spotlight,2021-01-23
106466,Alumni Reunion,2015-03-20
559742,Speaker Spotlight,2025-03-25
842584,Alumni Happy Hour Mixer,2025-03-05
931488,Alumni Reunion,2024-08-18
127698,Alumni Happy Hour Mixer,2023-09-04
225672,Alumni Baseball Game,2025-06-27
753292,Family Weekend Mixer,2018-04-14
660292,Alumni Reunion,2024-03-13
299239,Alumni Reunion,2025-01-22
299239,Alumni Happy Hour Mixer,2025-09-26
977363,Family Weekend Mixer,2024-06-27
521819,Family Weekend Mixer,2021-09-08
845866,Alumni Baseball Game,2017-04-27
686417,Family Weekend Mixer,2021-03-18
380888,Alumni Reunion,2022-08-15
476442,Alumni Baseball Game,2020-12-22
476442,Speaker Spotlight,2025-02-14
476442,Holiday Mixer,2021-07-02
224851,Alumni Baseball Game,2019-11-11
224851,Alumni Baseball Game,2019-10-22
224851,Faculty Meet and Greet,2023-04-19
211275,Alumni Baseball Game,2024-05-10
192542,Alumni Baseball Game,2023-12-20
192542,Family Weekend Mixer,2024-04-12
142039,Alumni Reunion,2021-08-17
142039,Family Weekend Mixer,2016-04-10
452024,Alumni Baseball Game,2022-12-02
460852,Family Weekend Mixer,2021-08-11
507405,Alumni Baseball Game,2021-08-06
239738,Faculty Meet and Greet,2024-12-26
997179,New Parent BBQ,2024-08-06
339172,Family Weekend Mixer,2024-01-20
339172,Alumni Reunion,2024-11-04
782245,Speaker Spotlight,2024-12-09
937376,Alumni Reunion,2024-11-12
292546,Alumni Happy Hour Mixer,2021-07-02
273883,Holiday Mixer,2025-07-24
273883,Campus Tour,2022-11-14
179318,Family Weekend Mixer,2025-04-13
398652,Alumni Happy Hour Mixer,2024-06-06
156677,Alumni Reunion,2024-08-04
157918,Family Weekend Mixer,2025-10-22
860475,New Parent BBQ,2024-05-11
860475,Speaker Spotlight,2024-05-11
662833,Holiday Mixer,2025-02-08
525040,Alumni Reunion,2016-06-05
525040,Alumni Happy Hour Mixer,2022-11-12
883577,Alumni Reunion,2017-02-06
714694,Alumni Reunion,2023-08-23
751110,Alumni Baseball Game,2024-04-25
751110,Family Weekend Mixer,2020-06-25
314322,Alumni Baseball Game,2021-03-16
182450,Family Weekend Mixer,2024-11-03
291228,Alumni Reunion,2025-04-17
244759,Family Weekend Mixer,2020-04-19
517811,Alumni Reunion,2022-09-13
218226,Alumni Reunion,2020-08-23
218226,Speaker Spotlight,2016-09-14
348070,Alumni Reunion,2016-06-19
264769,Alumni Happy Hour Mixer,2019-05-14
620016,Alumni Happy Hour Mixer,2016-09-22
151753,Alumni Baseball Game,2020-08-23
151753,Alumni Happy Hour Mixer,2024-11-02
538300,Alumni Reunion,2022-04-01
818213,Alumni Happy Hour Mixer,2025-03-29
818213,Faculty Meet and Greet,2025-08-27
818213,Holiday Mixer,2016-04-12
512906,Alumni Baseball Game,2024-06-05
513272,Family Weekend Mixer,2025-08-02
554770,Family Weekend Mixer,2022-02-19
846538,Alumni Baseball Game,2023-04-21
287667,Alumni Reunion,2020-10-09
849616,Alumni Baseball Game,2023-07-19
996052,Family Weekend Mixer,2025-02-14
401383,Alumni Baseball Game,2019-09-24
421157,Holiday Mixer,2019-11-24
100499,Family Weekend Mixer,2025-05-20
214521,Family Weekend Mixer,2022-01-18
792489,Speaker Spotlight,2024-01-22
753578,Speaker Spotlight,2020-08-08
100379,Family Weekend Mixer,2025-04-25
274688,Alumni Happy Hour Mixer,2022-04-11
510833,Alumni Happy Hour Mixer,2020-08-02
799461,Alumni Happy Hour Mixer,2025-04-01
559844,Family Weekend Mixer,2021-11-17
244888,Alumni Reunion,2022-05-23
244888,Faculty Meet and Greet,2024-09-16
845402,Family Weekend Mixer,2019-11-24
907684,Alumni Happy Hour Mixer,2025-09-10
796668,Alumni Happy Hour Mixer,2024-08-25
253131,Family Weekend Mixer,2024-06-27
618193,Alumni Reunion,2017-11-19
893840,Alumni Baseball Game,2025-08-16
446014,Alumni Reunion,2025-07-27
293792,Alumni Reunion,2025-04-18
404604,Family Weekend Mixer,2017-05-23
404604,Speaker Spotlight,2025-07-05
796423,Campus Tour,2025-09-09
749753,Speaker Spotlight,2021-07-14
870011,New Parent BBQ,2025-06-26
429398,Campus Tour,2023-07-26
440609,Alumni Reunion,2021-01-02
847352,Speaker Spotlight,2020-08-24
227584,Alumni Reunion,2022-06-04
405349,Family Weekend Mixer,2021-01-16
887275,Alumni Reunion,2023-09-10
887275,Alumni Reunion,2023-08-10
265648,Campus Tour,2025-08-18
616607,Alumni Reunion,2019-09-11
558862,Alumni Reunion,2019-04-25
