Donor_ID,Family_ID,Relationship_Type
598508,36142,Spouse
886059,39334,Spouse
841384,35486,Head
344369,22888,Head
115291,22136,Head
518850,10877,Spouse
771764,18980,Child
222270,40623,Head
845193,35430,Spouse
634835,17171,Head
482490,35536,Head
165196,23892,Child
392002,17685,Head
313557,41403,Spouse
366406,19582,Head
974130,25397,Head
936103,20511,Spouse
964972,37570,Head
834688,34209,Head
692519,10327,Child
717667,43190,Child
237520,27118,Head
986450,29257,Spouse
277309,10456,Spouse
650055,25179,Head
836389,25724,Head
502377,31539,Head
330689,30242,Spouse
124502,22904,Head
415119,36195,Child
559724,29144,Head
233924,20060,Child
127452,42033,Child
690351,39314,Head
280748,39612,Child
589804,29747,Head
510418,35970,Child
243098,41258,Child
844732,39850,Spouse
233951,13424,Child
201458,38521,Head
465407,21358,Spouse
734176,19369,Child
289896,38772,Spouse
582887,22009,Child
264466,13302,Head
654622,37681,Spouse
766730,24584,Spouse
783716,27528,Spouse
710710,22689,Spouse
221281,17320,Child
244356,19381,Head
649424,39256,Child
633499,39264,Spouse
602970,12764,Spouse
321288,10538,Head
682469,35982,Head
599302,37441,Child
695177,11475,Spouse
650835,28922,Head
196097,33168,Head
919887,31410,Child
173180,26439,Head
109772,29636,Child
545650,17461,Spouse
476577,23455,Head
786120,35136,Head
341601,24912,Spouse
301217,15124,Spouse
777412,25453,Head
387706,30007,Spouse
262538,21551,Head
272580,32523,Spouse
694948,37240,Head
285074,39582,Spouse
969477,37944,Spouse
295439,11363,Spouse
998973,23553,Child
270947,26522,Head
839151,41555,Spouse
229651,26614,Spouse
661344,39431,Spouse
481212,34370,Spouse
361943,13513,Spouse
966445,25087,Child
871637,28551,Head
556949,10485,Child
804332,39157,Spouse
714702,33159,Head
966572,27443,Spouse
243888,13839,Child
430540,14494,Spouse
837174,22989,Head
658009,30780,Spouse
871266,27121,Head
665659,30150,Spouse
126884,22298,Head
224894,42178,Head
257401,34343,Spouse
856011,12956,Spouse
444611,29804,Head
208561,26580,Head
102759,34311,Head
616582,27831,Spouse
138742,11844,Head
907239,24214,Spouse
421184,19451,Child
642176,14303,Spouse
776985,21328,Spouse
381291,16817,Child
581222,37227,Spouse
593933,34695,Head
152093,13921,Spouse
244240,18786,Child
407453,15927,Head
690146,31995,Child
610871,31778,Spouse
895026,25397,Child
664108,28045,Child
897096,25049,Child
223180,31846,Head
258981,18643,Head
490778,23773,Child
207028,28171,Spouse
131375,39540,Spouse
377006,10904,Spouse
417604,14612,Spouse
849858,26670,Head
169896,21792,Head
356208,38393,Head
131033,15682,Spouse
677071,23726,Head
288483,14091,Head
597592,29953,Child
795304,25068,Spouse
326603,11021,Head
479834,35717,Head
939206,23002,Head
349668,25909,Head
988505,23452,Head
142952,37098,Spouse
823100,12775,Child
780733,37007,Head
604614,34135,Parent
529482,41727,Child
461876,15047,Child
784358,39683,Spouse
