Donor_ID,Event_Name,Attendance_Date
655865,Alumni Baseball Game,2022-09-07
655865,Family Weekend Mixer,2025-07-05
655865,Alumni Reunion,2025-02-18
529078,Alumni Reunion,2024-11-07
529078,Alumni Happy Hour Mixer,2024-12-18
767247,Alumni Baseball Game,2025-06-24
707421,Family Weekend Mixer,2023-11-07
775845,Holiday Mixer,2017-02-10
998161,Family Weekend Mixer,2019-12-15
564024,Family Weekend Mixer,2020-10-16
177255,Alumni Happy Hour Mixer,2022-06-04
864161,Alumni Reunion,2018-12-25
864161,Alumni Baseball Game,2020-08-08
771019,Alumni Reunion,2021-11-09
468847,Family Weekend Mixer,2018-03-06
964624,Alumni Baseball Game,2019-07-25
242791,Faculty Meet and Greet,2025-07-24
227095,New Parent BBQ,2018-08-09
829261,Alumni Reunion,2018-03-08
267592,Alumni Baseball Game,2023-10-19
609334,Alumni Baseball Game,2025-05-25
609334,Alumni Happy Hour Mixer,2021-01-01
325820,Alumni Happy Hour Mixer,2019-09-19
129058,Alumni Reunion,2025-02-06
846362,Alumni Reunion,2018-01-01
887857,Alumni Reunion,2024-06-21
618603,Alumni Happy Hour Mixer,2016-09-13
687762,Alumni Happy Hour Mixer,2023-12-18
915709,Alumni Baseball Game,2025-07-12
915709,Alumni Happy Hour Mixer,2024-10-15
604673,Alumni Reunion,2022-02-26
614171,Alumni Happy Hour Mixer,2024-01-01
897222,Alumni Reunion,2025-05-09
897222,Alumni Happy Hour Mixer,2025-03-15
521389,Family Weekend Mixer,2024-03-25
172386,Alumni Reunion,2023-08-28
172386,Alumni Baseball Game,2024-09-15
601383,Family Weekend Mixer,2018-03-15
215733,Alumni Reunion,2020-06-18
215733,Alumni Happy Hour Mixer,2017-03-28
718659,Family Weekend Mixer,2020-10-22
718659,Faculty Meet and Greet,2022-03-18
688242,Faculty Meet and Greet,2018-02-06
323542,Alumni Reunion,2021-08-27
323542,Speaker Spotlight,2021-03-03
111643,Family Weekend Mixer,2015-12-17
437861,Speaker Spotlight,2022-04-26
437861,New Parent BBQ,2025-07-15
501466,Alumni Baseball Game,2023-06-10
499131,Alumni Reunion,2020-06-15
499131,Alumni Happy Hour Mixer,2024-07-20
765265,Alumni Happy Hour Mixer,2022-07-07
988371,Alumni Reunion,2023-05-16
827167,Alumni Happy Hour Mixer,2025-08-03
827167,Holiday Mixer,2019-04-24
233340,Alumni Reunion,2016-02-26
233340,Alumni Happy Hour Mixer,2018-11-03
655147,Family Weekend Mixer,2022-04-05
655147,Faculty Meet and Greet,2015-07-06
712129,Alumni Reunion,2021-03-09
898556,Alumni Reunion,2020-05-03
898556,Alumni Baseball Game,2024-10-24
898556,Family Weekend Mixer,2021-06-24
169981,Alumni Baseball Game,2025-08-17
169981,Speaker Spotlight,2020-09-12
647248,New Parent BBQ,2024-11-23
940150,Alumni Reunion,2024-08-20
940150,Alumni Baseball Game,2021-12-24
382703,Alumni Baseball Game,2019-01-10
573776,Family Weekend Mixer,2020-12-15
731193,New Parent BBQ,2023-12-05
961906,Family Weekend Mixer,2020-02-16
176481,Alumni Baseball Game,2019-01-05
689368,Alumni Baseball Game,2022-01-13
490176,Alumni Baseball Game,2023-01-05
490176,Alumni Happy Hour Mixer,2018-08-02
490176,Family Weekend Mixer,2025-01-14
927442,Alumni Happy Hour Mixer,2019-02-14
243524,Alumni Happy Hour Mixer,2025-02-16
741409,Alumni Reunion,2025-10-12
631993,Alumni Happy Hour Mixer,2019-08-03
891991,Alumni Happy Hour Mixer,2023-12-08
217323,Alumni Happy Hour Mixer,2022-03-25
424386,New Parent BBQ,2017-06-13
483884,Campus Tour,2018-08-19
674826,Faculty Meet and Greet,2018-07-25
402535,Alumni Reunion,2022-01-16
402535,Alumni Happy Hour Mixer,2023-02-15
609085,Alumni Reunion,2021-12-26
609085,Alumni Happy Hour Mixer,2024-03-01
179378,Family Weekend Mixer,2018-05-08
868002,Alumni Happy Hour Mixer,2023-06-03
868002,Alumni Happy Hour Mixer,2015-04-21
646164,Family Weekend Mixer,2017-05-22
665005,Alumni Reunion,2023-12-23
714710,Alumni Baseball Game,2021-07-14
714710,Alumni Happy Hour Mixer,2020-05-03
230372,Family Weekend Mixer,2024-12-20
869398,Family Weekend Mixer,2016-04-08
787770,Family Weekend Mixer,2021-05-17
147479,Faculty Meet and Greet,2020-01-13
957527,Holiday Mixer,2022-01-16
862311,Holiday Mixer,2023-04-19
322268,Alumni Baseball Game,2022-09-05
609976,Family Weekend Mixer,2022-06-21
503122,Family Weekend Mixer,2021-12-01
862080,Alumni Happy Hour Mixer,2022-09-06
392805,Alumni Happy Hour Mixer,2017-09-08
544390,Alumni Baseball Game,2016-07-17
356870,Family Weekend Mixer,2016-01-28
356870,Faculty Meet and Greet,2024-04-11
941624,Alumni Reunion,2025-07-15
804916,Alumni Happy Hour Mixer,2023-07-07
