feature,importance
giving_consistency,0.011212455668511262
total_amount,0.010233873404397758
total_lifetime_giving,0.010233873315844634
avg_gift_amount,0.009013846138107734
avg_gift_size,0.00901384613740921
last_gift_amount,0.008816432083105178
is_recent_donor,0.008386883270140687
mid_career_age,0.008282653470692345
running_avg_last_3,0.007319429000983292
high_capacity_industry,0.007183429111699173
recently_engaged,0.006332935874460141
gave_in_6mo,0.006332935874460141
gifts_last_6mo,0.006332935874460141
gift_frequency_variability,0.005855039058852647
other_region,0.005159887678836989
senior_age,0.004787981027306371
time_weighted_giving,0.004674090704293329
engagement_score,0.00461363148794019
recency_score,0.004439262570167159
engagement_giving_interaction,0.004281824857587694
young_age,0.003928407678292869
consecutive_years,0.003803414451457249
giving_velocity,0.0036668597534136823
rfm_score,0.0034544106462496946
monetary_score,0.002980491235460864
recent_giving_amount,0.0029801503704871453
gift_frequency,0.00297233808175525
is_multi_year,0.002857370504002138
years_inactive,0.0026571707585552307
gave_in_12mo,0.002652943721575938
days_since_last_gift,0.002429836699004394
gifts_last_12mo,0.002257848533529509
other_industry,0.002190989936186514
is_loyal_donor,0.002090710091907442
medium_capacity_industry,0.0020015842115899073
gifts_per_year,0.0018965501581046668
total_gifts,0.0018648329361628155
gift_count,0.0018648329361628155
giving_years,0.0018648329361628155
years_active,0.0018648329361628155
frequency_score,0.0017073740439708534
gift_consistency,0.001674854425289958
giving_momentum,0.001423865633616836
gave_in_24mo,0.0010759799432842564
wealthy_region,0.0006523996749405785
gifts_last_24mo,0.00037870991306362755
years_since_first_gift,0.00017124871560794468
qualified_rating,0.0001709542507273718
